Scenario,CAGR_%,Max_DD_%,End_Equity,Stops,PnL_L1,PnL_L2,PnL_L3,PnL_L4,PnL_S1,PnL_S2,PnL_S3
0.  V2+SL-3% (base),25.0,-30.0,2838.25,352,877.73,924.9,-11.09,105.69,-96.44,252.97,0.0
1.  + Kill L4,23.4,-29.2,2336.03,353,759.12,772.6,-3.19,0.0,-84.23,212.03,0.0
2.  + SL cooldown 1d,24.0,-29.2,2499.86,281,1208.2,728.2,-24.52,78.44,-102.79,285.12,0.0
3.  + SL cooldown 2d,22.6,-30.1,2102.31,260,1462.48,33.34,16.83,47.22,-249.89,261.07,0.0
4.  + L2 -> 25%,22.4,-29.7,2072.36,294,821.44,375.09,1.98,90.88,-76.63,184.57,0.0
5.  + L2 -> 20%,21.8,-29.2,1909.26,289,798.17,287.75,0.81,78.06,-72.4,171.25,0.0
6.  Asym SL -3%L/-5%S,23.7,-31.8,2429.52,329,802.56,803.0,-9.2,94.22,-93.84,219.99,0.0
7.  Asym SL -2%L/-3%S,28.7,-24.7,4388.52,670,986.15,1269.56,-23.73,135.62,-130.39,366.72,0.0
8.  Vol-scale tgt 20%,26.1,-39.2,3216.78,492,775.91,1245.7,-9.94,151.96,-66.84,173.43,0.0
9.  Vol-scale tgt 25%,32.8,-39.3,6997.06,604,1187.38,2794.51,-63.56,305.37,-145.91,449.44,0.0
10. KillL4 + cool1d,23.2,-27.4,2276.43,281,1142.15,674.2,-23.71,0.0,-95.96,263.92,0.0
11. KillL4 + cool1d + L2 25%,21.2,-26.3,1775.44,241,976.63,327.79,12.07,0.0,-77.32,207.33,0.0
12. KillL4 + vol-scale 20%,23.9,-38.6,2480.31,491,643.09,987.32,-2.84,0.0,-55.89,137.77,0.0
13. KillL4 + asym -2/-3,27.4,-24.5,3771.4,667,883.5,1109.03,-12.12,0.0,-115.86,318.97,0.0
14. KillL4+cool1d+vol20+asym,29.2,-27.3,4642.18,524,2903.3,1001.23,26.65,0.0,-355.2,394.28,0.0
